Sample	Year	Country	City	latitude	longitude
Kenya1	2012	Kenya	Killifi	-3.6309	39.8502
Kenya2	2012	Kenya	Killifi	-3.6309	39.8502
Kenya3	2012	Kenya	Killifi	-3.6309	39.8502
Kenya4	2012	Kenya	Killifi	-3.6309	39.8502
Kenya5	2012	Kenya	Killifi	-3.6309	39.8502
Kenya6	2012	Kenya	Killifi	-3.6309	39.8502
Kenya7	2012	Kenya	Killifi	-3.6309	39.8502
Kenya8	2012	Kenya	Killifi	-3.6309	39.8502
Kenya9	2012	Kenya	Killifi	-3.6309	39.8502
Kenya10	2012	Kenya	Killifi	-3.6309	39.8502
Kenya11	2012	Kenya	Killifi	-3.6309	39.8502
Kenya12	2012	Kenya	Killifi	-3.6309	39.8502
Kenya13	2012	Kenya	Killifi	-3.6309	39.8502
Kenya14	2012	Kenya	Killifi	-3.6309	39.8502
Kenya15	2012	Kenya	Killifi	-3.6309	39.8502
Kenya16	2012	Kenya	Killifi	-3.6309	39.8502
Kenya17	2012	Kenya	Killifi	-3.6309	39.8502
Kenya18	2012	Kenya	Killifi	-3.6309	39.8502
Kenya19	2012	Kenya	Killifi	-3.6309	39.8502
Kenya20	2012	Kenya	Killifi	-3.6309	39.8502
Kenya21	2012	Kenya	Killifi	-3.6309	39.8502
Kenya22	2012	Kenya	Killifi	-3.6309	39.8502
Kenya23	2012	Kenya	Killifi	-3.6309	39.8502
Kenya24	2012	Kenya	Killifi	-3.6309	39.8502
Kenya25	2012	Kenya	Killifi	-3.6309	39.8502
Kenya26	2012	Kenya	Killifi	-3.6309	39.8502
Kenya27	2012	Kenya	Killifi	-3.6309	39.8502
Kenya28	2012	Kenya	Killifi	-3.6309	39.8502
Kenya29	2012	Kenya	Killifi	-3.6309	39.8502
Kenya30	2012	Kenya	Killifi	-3.6309	39.8502
Kenya31	2012	Kenya	Killifi	-3.6309	39.8502
Kenya32	2012	Kenya	Killifi	-3.6309	39.8502
Kenya33	2012	Kenya	Killifi	-3.6309	39.8502
Thai1	2012	Thailand	Mae Sot	16.7217	98.5666
Thai2	2012	Thailand	Mae Sot	16.7217	98.5666
Thai3	2012	Thailand	Mae Sot	16.7217	98.5666
Thai4	2012	Thailand	Mae Sot	16.7217	98.5666
