Sample	Year	Country	City	latitude	longitude
ANS46	1982	Australia	Melbourne		
BK2421	1996	USA	New York		
LHH1	1994	USA	New York		
R35	1987	USA	New Brunswick	40.4862157	-74.4518188
GRE18	1998	Greece	Patras		
GRE317	1999	Greece	Patras		
GRE4	1998	Greece	Patras		
TUR9	1995	Turkey	Ankara		
TUR1	1996	Turkey	Ankara		
3HK	2000	Czech Republic	Pribram		
TUR27	1996	Turkey	Ankara		
HU109	1996	Hungary	Budapest		
HUR18	1997	Hungary	Budapest		
URU110	1998	Uruguay	Montevideo		
2A8	2001	Czech Republic	Prague		
HU25	1993	Brazil	Rio de Janeiro		
BRA2	1997	Brazil	Sao Paulo		
CHL1	1997	Chile	Santiago		
CHL151	1998	Chile	Santiago		
BRA36	1997	Brazil	Sao Paulo		
BZ48	1997	Brazil	Sao Paulo		
AGT120	1998	Argentina	Capital Federal		
HSJ216	1997	Portugal	Lisbon		
HGSA9	1997	Portugal	Oporto		
HGSA142	2003	Portugal	Oporto		
AGT9	1997	Argentina	Capital Federal		
AGT67	1997	Argentina	Capital Federal		
URU34	1997	Uruguay	Montevideo		
AGT1	1997	Argentina	Capital Federal		
HU106	1996	Hungary	Kapsovar		
HUSA304	1993	Hungary	Dunaujvaros		
HSA11	1992	Portugal	Oporto		
HDG2	1992	Portugal	Guarda		
HSA10	1992	Portugal	Oporto		
FFP103	1990	Portugal	Oporto		
ICP5011	1993	Portugal	Lisbon		
ICP5014	1993	Portugal	Lisbon		
ICP5062	1993	Portugal	Lisbon		
GRE108	1998	Greece	Patras		
CHI59	1998	China	Nanjing		
CHI61	1998	China	Nanjing		
S85	2007	Thailand	Ubon Ratchathani		
S130	2007	Thailand	Ubon Ratchathani		
S87	2007	Thailand	Ubon Ratchathani		
S93	2007	Thailand	Ubon Ratchathani		
S71	2007	Thailand	Ubon Ratchathani		
S40	2006	Thailand	Ubon Ratchathani		
S102	2007	Thailand	Ubon Ratchathani		
TW20	2003	UK	London		
S7	2006	Thailand	Ubon Ratchathani		
S38	2006	Thailand	Ubon Ratchathani		
DEN907	2001	Denmark	Copenhagen		
S26	2006	Thailand	Ubon Ratchathani		
S97	2007	Thailand	Ubon Ratchathani		
S25	2006	Thailand	Ubon Ratchathani		
S106	2007	Thailand	Ubon Ratchathani		
S2	2006	Thailand	Ubon Ratchathani		
S78	2007	Thailand	Ubon Ratchathani		
S42	2006	Thailand	Ubon Ratchathani		
S81	2007	Thailand	Ubon Ratchathani		
S24	2006	Thailand	Ubon Ratchathani		
S21	2006	Thailand	Ubon Ratchathani		
S39	2006	Thailand	Ubon Ratchathani		
